language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Slovenian,slv,Indo-European,Eastern Europe,0.4138830551267579,3.82468048692186,1.6747416256209344,0.18123008782827682,10.658104159230165,9.24096901176709,0.8501039006611164,loaded,0.14515660853725265,0.8232248848936341,0.7421354285657524,3.685867486124612,0.9545252078715336,0.0575121407163444,1.444091222584437,-3.1732729245378426,97311,19970,16513
Filipino,fil,Austronesian,South/Southeast Asia,0.9085471645871492,7.780387139339136,0.762918214460464,0.08908903479304514,7.245393727329117,8.563547873570883,,no_matching_treebank,,,,,0.9386325626384642,0.0866222232448409,1.6802607247469632,0.054463435651646,99991,19972,17021
Dutch,nld,Indo-European,Western Europe,0.4848312366940707,5.854126786977227,1.4296669193311946,0.11840317194733173,9.698439139185144,12.074566042598429,0.582471862487969,loaded,0.32098050066009276,0.4477832587664057,0.5378913322706944,3.330196749358426,0.9765168895659718,0.044465213939492,1.452516868994893,-1.680391154505508,99997,19979,16864
Swedish,swe,Indo-European,Western Europe,0.4522046920097251,3.736173398605055,1.5328173121764923,0.18552328990371272,10.430284898202318,8.26212877624168,0.7161511016418065,loaded,0.22845168621934286,0.5763838707996456,0.654322840080425,3.2201472782403617,0.9817073662515338,0.038803720602643,1.4574153848401687,-2.538425849755072,99246,19994,16545
Telugu,tel,Dravidian,South Asia,0.5724039481013141,4.74169766510011,1.2109406003559917,0.14618122653868337,11.43827487075854,8.283831166483921,0.8439342979427815,loaded,0.14827233147782692,0.8017911964039479,0.0137741046831955,1.5229471595137682,0.9894397158685954,0.043949282138995,1.6453989159252664,-1.6828344735130636,99239,19992,16378
Korean,kor,Koreanic,CJK,0.6933363619501605,2.533296626113133,0.9997271434175425,0.27361469376108916,10.290261754626004,3.653777250320005,0.7255881258271853,loaded,0.3581969402217813,0.9471290093258764,0.0,2.284729455881517,0.9919733576162209,0.0597500883753162,1.354106300351316,0.629110768358722,43840,11023,8947
Russian,rus,Indo-European,Eastern Europe,0.5749451912687354,5.865196411604735,1.2055882736063461,0.11817970480724245,9.727093908029124,10.2013139698794,0.8496586991763984,loaded,0.1617292229732099,0.9140179076370938,0.645991862595894,3.0796713472741355,0.971915631004774,0.0598408341063849,1.666516011445086,-2.023829952114524,99966,19987,16811
Spanish (Latin America),spa,Indo-European,Latin America / Caribbean,0.5750128817879746,6.183854141298703,1.2054463517489171,0.11208983341485702,9.439125293034715,10.754288011896897,0.5237412842195477,loaded,0.36239125702036223,0.398521341558556,0.6952975442470081,3.7110481929168633,0.9629770787248516,0.0607795650751032,1.4936806342662614,-1.123063063000711,99999,19983,17055
Luxembourgish,ltz,Indo-European,Western Europe,0.49984317724139,4.722967841865365,1.3867293025492329,0.14676093587081945,9.77290916467103,9.448899288635271,,no_matching_treebank,,,,,0.9808244827829552,0.0426830924275285,1.551877572964494,-2.312092093847365,99978,19987,16842
Kannada,kan,Dravidian,South Asia,0.6317988976097205,5.724417546194863,1.0971009654849402,0.12108606246249355,8.969437727357008,9.060505752466495,,no_matching_treebank,,,,,0.9986785499522092,0.0152544008385226,1.767004795239488,-0.739448286413739,99981,19992,16909
