language,lag_characters,lag_seconds,information_bits,surprisal_bits,source
Igbo,10,1.6660904668253804,0.034975165207109,2.056524616709874,google/fleurs
Igbo,11,1.8326995135079185,0.0291712899283898,2.0215494515027648,google/fleurs
Igbo,12,1.9993085601904563,0.0203867953307537,1.992378161574375,google/fleurs
Igbo,13,2.1659176068729944,0.0150661302699959,1.9719913662436213,google/fleurs
Igbo,14,2.3325266535555325,0.0121177415373643,1.956925235973625,google/fleurs
Igbo,15,2.4991357002380705,0.008867808493373,1.944807494436261,google/fleurs
Igbo,16,2.6657447469206086,0.0070723077089043,1.935939685942888,google/fleurs
Igbo,17,2.8323537936031467,0.0051941357448268,1.928867378233984,google/fleurs
Igbo,18,2.9989628402856847,0.0037710572058307,1.9236732424891567,google/fleurs
Igbo,19,3.165571886968223,0.0030229458302315,1.919902185283326,google/fleurs
Igbo,20,3.332180933650761,0.0021089592244125,1.9168792394530945,google/fleurs
Hausa,1,0.1374875436462787,1.4854002782045974,4.83571881632971,google/fleurs
Hausa,2,0.2749750872925575,0.3585354182659719,3.350318538125112,google/fleurs
Hausa,3,0.4124626309388363,0.3944179353637249,2.99178311985914,google/fleurs
Hausa,4,0.5499501745851151,0.2695163378913472,2.597365184495416,google/fleurs
Hausa,5,0.6874377182313939,0.1427145409015189,2.327848846604068,google/fleurs
Hausa,6,0.8249252618776726,0.0933001980960015,2.185134305702549,google/fleurs
Hausa,7,0.9624128055239514,0.0652960731417549,2.091834107606548,google/fleurs
Hausa,8,1.0999003491702302,0.0463468458050329,2.0265380344647927,google/fleurs
Hausa,9,1.237387892816509,0.0363928113648974,1.98019118865976,google/fleurs
Hausa,10,1.3748754364627878,0.028197961496218,1.9437983772948624,google/fleurs
Hausa,11,1.5123629801090666,0.0209422767494014,1.9156004157986444,google/fleurs
Hausa,12,1.6498505237553451,0.0176115626205424,1.894658139049243,google/fleurs
Hausa,13,1.787338067401624,0.0122614477696985,1.8770465764287003,google/fleurs
Hausa,14,1.9248256110479027,0.0099550544013717,1.864785128659002,google/fleurs
Hausa,15,2.062313154694181,0.0077322305172273,1.8548300742576305,google/fleurs
Hausa,16,2.1998006983404603,0.0058061205299766,1.8470978437404029,google/fleurs
Hausa,17,2.337288241986739,0.0042635427509776,1.8412917232104264,google/fleurs
Hausa,18,2.474775785633018,0.0034030104756255,1.8370281804594488,google/fleurs
Hausa,19,2.6122633292792967,0.0025566283434319,1.833625169983823,google/fleurs
Hausa,20,2.7497508729255755,0.0021701332719681,1.8310685416403911,google/fleurs
Fulah,1,0.1603715862765611,1.2906467598617342,4.923145791844569,google/fleurs
Fulah,2,0.3207431725531223,0.4701485768946205,3.632499031982835,google/fleurs
Fulah,3,0.4811147588296835,0.4224837746621022,3.1623504550882147,google/fleurs
Fulah,4,0.6414863451062447,0.2657670073805618,2.7398666804261125,google/fleurs
